result #,search engine,query,article title,article url,article description,total nr of results (best guess),
0,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://nl.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (Stockholm,,
1,duckduckgo,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,
2,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS Thunberg in April 2019 Born Greta Tintin Eleonora Ernman Thunberg (2003-01-03) 3 January 2003 (age 16) Stockholm,,
3,duckduckgo,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2,,
4,duckduckgo,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,The latest Tweets from Greta Thunberg (@GretaThunberg). 16 year old climate and environmental activist with Asperger&#x27;s Join the global climate strikes on September ...,150,
7,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://de.wikipedia.org/wiki/Greta_Thunberg,Im Oktober 2018 wurde Greta Thunberg ohne ihr Wissen zur Ratgeberin des Stiftungsvorstands der Gesellschaft. Am 27. November 2018 kündigte We Don&#x27;t Have Time AB eine Aktienemission an und nutzte den Namen „Greta Thunberg&quot; elfmal im Werbeprospekt für den Börsengang. Im Dezember wurden bei der Aktienemission 10 Millionen SEK erzielt.,150,
8,duckduckgo,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,
9,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (IPA: [ˈgreːta ˈtʉːnˌbærj]; Stoccolma,,
10,duckduckgo,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 Conference - YouTube,https://www.youtube.com/watch?v=VFkQSGyeCWg,15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: &quot;My name is Greta Thunberg. I am 15 years old. I am from Sweden. I speak on behalf of Climate Justice Now. Many people say that Sweden is just a small country and it doesn&#x27;t matter what we do. But I&#x27;ve learned you are never too small to make a difference.,150,
12,duckduckgo,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,In August 2018,,
13,duckduckgo,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,
14,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
15,duckduckgo,Greta Thunberg,Greta Thunberg: 16-year-old climate activist inspired international ...,https://www.bbc.co.uk/newsround/47467038,At just 16 years old,,
16,duckduckgo,Greta Thunberg,YouTube,https://www.youtube.com/watch?v=CLxpgRqxtEA,Enjoy the videos and music you love,,
18,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://sv.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg har också uppmanat vuxenvärlden att stå upp bakom forskningen,,
19,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
20,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
21,duckduckgo,Greta Thunberg,Greta Thunberg - latest news,,,,
25,duckduckgo,Greta Thunberg,Greta Thunbergová - Wikipedie,https://cs.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunbergová,,
26,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipédia,,,,
28,duckduckgo,Greta Thunberg,Greta Thunberg: The disarming case to act right now on climate change ...,https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate,In this passionate call to action,,
29,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://no.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (født 3. januar 2003 i Stockholm) er en svensk klimaaktivist og skoleelev som ble kjent i august 2018 da hun satt utenfor ...,150,
30,duckduckgo,Greta Thunberg,Greta Thunberg | Environment | The Guardian,https://www.theguardian.com/environment/greta-thunberg,Greta Thunberg hit back at critics including Donald Trump on Friday before she marched in a climate strike in Montreal,,
31,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
32,duckduckgo,Greta Thunberg,Greta Thunberg - BBC News,https://www.bbc.com/news/topics/cwmrxq94v1jt/greta-thunberg,Two former youth campaigners talk to us about their activism and Greta Thunberg. Many people will have heard the speech given by the young climate change activist,,
33,duckduckgo,Greta Thunberg,Self-Harm Versus the Greater Good: Greta Thunberg and Child Activism ...,https://quillette.com/2019/04/23/self-harm-versus-the-greater-good-greta-thunberg-and-child-activism/,Consequently,,
35,duckduckgo,Greta Thunberg,The problem with Greta Thunberg&#x27;s sea crossings - Spectator USA,https://spectator.us/problem-greta-thunberg-sea-crossings/,Thunberg and her family may argue that Greta&#x27;s presence at these conferences will inspire others to become more climate-friendly but the fact is that without Thunberg&#x27;s celebrity,,
36,duckduckgo,Greta Thunberg,Greta Thunberg - Het Nieuwsblad,https://www.nieuwsblad.be/tag/greta-thunberg,De ogen van Greta Thunberg schoten maandag even vuur toen ze bijna oog in oog stond met Donald Trump om de VN-klimaattop in New York. De activiste liep de president bijna tegen het lijf toen hij binne...,150,
37,duckduckgo,Greta Thunberg,Greta Thunberg - De Standaard,https://www.standaard.be/tag/greta-thunberg,Greta Thunberg krijgt overal waar ze komt enorm veel aandacht,,
38,duckduckgo,Greta Thunberg,Greta Thunberg | Steckbrief,,,,
39,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://no.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (født 3. januar 2003 i Stockholm) er en svensk klimaaktivist og skoleelev som ble kjent i august 2018 da hun satt utenfor ...,150,
40,duckduckgo,Greta Thunberg,De dochter,,,,
41,duckduckgo,Greta Thunberg,FridaysForFuture,https://www.fridaysforfuture.org/,Greta requests that people strike infront of their closest town hall,,
42,duckduckgo,Greta Thunberg,Greta Thunberg | Vrijspreker.nl,https://www.vrijspreker.nl/wp/2019/09/greta-thunberg/,[flibje]Wanneer emoties en orakels nodig zijn om een boodschap te verkopen,,
43,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://fi.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (s. 3. tammikuuta 2003 Tukholma,,
44,duckduckgo,Greta Thunberg,Greta Thunberg is niet de Messias - Climategate,https://www.climategate.nl/2019/09/greta-thunberg-is-niet-de-messias/,Waarom vertoont Greta Thunberg zo&#x27;n vreemd gedrag? Waarom doet zij zo paniekerig? Waarom vreest zij dat het einde der tijden nabij is? In een empathische analyse over haar gedrag trachtte de Australische TV-commentator,,
45,duckduckgo,Greta Thunberg,Greta Thunberg - Wikiquote,https://en.wikiquote.org/wiki/Greta_Thunberg,Naomi Klein in Greta Thunberg on the Climate Fight: If We Can Save the Banks,,
46,duckduckgo,Greta Thunberg,Greta Thunberg: How one teenager became the voice of the planet | WIRED UK,https://www.wired.co.uk/article/greta-thunberg-climate-crisis,When Greta Thunberg first downloaded Instagram in June 2018,,
47,duckduckgo,Greta Thunberg,Who&#x27;s REALLY behind 16-year-old Greta Thunberg? | Daily Mail Online,https://www.dailymail.co.uk/news/article-6946815/Whos-REALLY-16-year-old-Greta-Thunberg.html,Who&#x27;s REALLY behind 16-year-old Greta Thunberg? Ugly feud between her opera singer-turned-climate-activist mother and the green PR man who she accuses of exploiting her. Greta Thunberg spoke to Existence Rebellion protesters in London,,
49,duckduckgo,Greta Thunberg,George Soros is backing Greta Thunberg | Free West Media,https://freewestmedia.com/2019/04/24/george-soros-is-backing-greta-thunberg/,Greta Thunberg has become world renowned because of her fight against climate change and lower temperatures on Earth. It all started in 2018 when she began a school strike on her own,,
50,duckduckgo,Greta Thunberg,Greta Thunberg: Marionette des linken Mainstreams - Jürgen Fritz Blog,https://juergenfritz.com/2019/03/01/greta-thunberg-marionette/,(Stefan Groß,,
51,duckduckgo,Greta Thunberg,Climate Activist Greta Thunberg and &quot;The Greta Effect&quot;,https://interestingengineering.com/swedish-climate-activist-greta-thunberg-and-the-greta-thunberg-effect,The &quot;Greta Thunberg Effect&quot; On March 13,,
52,duckduckgo,Greta Thunberg,&#x27;Gestrande&#x27; Greta Thunberg reageert erg emotioneel in DIW-fi... - Het ...,https://www.nieuwsblad.be/cnt/dmf20190925_04626724,Het faillissement van Thomas Cook én de emotionele uithaal van Greta Thunberg waren afgelopen week niet uit het nieuws weg te slaan. &#x27;De Ideale Wereld&#x27; liet die kans niet onbenut om met beide nieuwsfeiten aan de slag te gaan.,150,
53,duckduckgo,Greta Thunberg,Greta Thunberg arrives in New York after 15-day yacht journey - CNN,https://www.cnn.com/2019/08/28/us/greta-thunberg-new-york-landfall-scli-intl/index.html,Aug-28,,
54,duckduckgo,Greta Thunberg,Why Greta Thunberg doesn&#x27;t deserve a Nobel - spiked,https://www.spiked-online.com/2019/03/22/why-greta-thunberg-doesnt-deserve-a-nobel/,Greta Thunberg - the stern 16-year-old voice and face of the recent school climate-strike movement - has been nominated for the Nobel Peace Prize. Thunberg first made headlines when she skipped school on 20 August last year in her hometown in Sweden to protest outside parliament,,
55,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Best Quotes | Eco-Age,https://eco-age.com/news/greta-thunbergs-best-quotes,In just 12 months,,
56,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.m.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (IPA: [ˈgreːta ˈtʉːnˌbærj]; Stoccolma,,
57,duckduckgo,Greta Thunberg,Why is Greta Thunberg so triggering for certain men?,https://www.irishtimes.com/life-and-style/people/why-is-greta-thunberg-so-triggering-for-certain-men-1.4002264,Why is Greta Thunberg so triggering? How can a 16-year-old girl in plaits,,
58,duckduckgo,Greta Thunberg,Trump sarcastisch over Greta Thunberg - telegraaf.nl,https://www.telegraaf.nl/nieuws/1674908638/trump-sarcastisch-over-greta-thunberg,De Amerikaanse president Trump blijkt over een onvermoede kwaliteit te beschikken: een sarcastisch gevoel voor humor. Zoveel werd duidelijk uit de tweet die hij maandagnacht plaatste over de jonge milieuactivist Greta Thunberg.,150,
60,duckduckgo,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,
62,duckduckgo,Greta Thunberg,Greta Thunberg faces a storm of criticism in her sailing journey to ...,https://www.washingtonpost.com/world/2019/08/15/swedish-climate-activist-greta-thunberg-is-sailing-america-amid-storm-criticism/,Aug-15,,
63,duckduckgo,Greta Thunberg,Let them sail yachts: Why Greta Thunberg and the environmental elite ...,https://www.rt.com/news/465501-greta-thunberg-hates-you/,Swedish climate activist Greta Thunberg will sail across the Atlantic by boat to attend two climate conferences. But the teenager&#x27;s carbon-neutral odyssey reveals the disregard - even contempt - the elite have for the rest of us.,150,
64,duckduckgo,Greta Thunberg,Teen Activist Greta Thunberg on the Climate Change Fight,https://time.com/collection-post/5584902/greta-thunberg-next-generation-leaders/,But nothing is impossible for Thunberg,,
65,duckduckgo,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.m.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,
